requirement_id,scope,component,model_requirement,implementation_route,classification,finding,evidence,impact,recommended_action,blocking_for_numerical_scheme_work
R2D-SRC-VISC-001,Regional2D,Explicit lateral eddy viscosity,Lateral eddy viscosity is not part of the baseline regional source model.,No explicit lateral viscosity source is active; numerical diffusion comes only from the flux.,OPTIONAL_DISABLED,The source catalogue explicitly excludes lateral eddy viscosity from the baseline.,docs/workstream/RES - Research/RES-MOD - Mathematical Model and Coupling/RES-MOD-SRC - Physical Source Terms and Constitutive Closures/res-mod-src.tex:409; src/r2d/src/RusanovFlux.cpp:15,No source-model mismatch.,Do not conflate Rusanov numerical diffusion with a physical eddy-viscosity closure.,False
R2D-SRC-EQ-001,Regional2D,Earthquake source wording,"Some RES-MOD text names dynamic moving-bed earthquake bathymetry, while the consolidated selected baseline permits static passive transfer.",The implementation applies effective displacement during initialization and then advances a fixed post-event bathymetry.,DOCUMENTATION_AMBIGUITY,There is a wording conflict between older RES-MOD source text and accepted G6/consolidated baseline evidence.,docs/workstream/RES - Research/RES-MOD - Mathematical Model and Coupling/RES-MOD-SRC - Physical Source Terms and Constitutive Closures/res-mod-src.tex:495; docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:362; src/r2d/src/RegionalEarthquakeInitialisation.cpp:550; docs/workstream/wbs-reconciliation/g6_theoretical_model_gate.md:22,Documentation ambiguity only; accepted implementation decision is unambiguous.,Update RES-MOD-SRC to state instantaneous passive initial transfer is current baseline and dynamic moving bed is deferred.,False
R2D-SRC-EQ-002,Regional2D,Passive free-surface transfer,"The simplest selected baseline maps finite-fault-derived vertical seabed displacement to eta(x,y,0).",surface_perturbation copies effective_bed_displacement unless a prescribed surface is supplied.,EXACT_MATCH,The code implements the accepted passive transfer baseline.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:364; src/r2d/src/RegionalEarthquakeInitialisation.cpp:550; docs/workstream/wbs-reconciliation/g6_model_traceability_matrix.md:13,No earthquake-source mismatch for the accepted baseline.,"Keep dynamic rupture as a separate future feature, not a hidden model requirement.",False
R2D-SRC-EQ-003,Regional2D,Post-event bed and initial state,"After source initialization, terrain is fixed for propagation; q starts from zero.","The initializer constructs post-event bathymetry, post-event depth, and zero post_qx/post_qy.",EXACT_MATCH,The propagation model starts from the expected passive earthquake initial condition.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:366; src/r2d/src/RegionalEarthquakeInitialisation.cpp:566; src/r2d/src/RegionalEarthquakeInitialisation.cpp:630,No blocker.,Keep source metadata in case outputs to prevent double-application.,False
R2D-BC-001,Regional2D,Boundary roles,"Offshore/source, inland/outflow, and artificial lateral boundaries should be open/radiation; laterals must not be rigid coastal walls.",Regional boundary overrides provide transmissive and characteristic radiation states; relaxation zones can damp artificial boundaries.,DISCRETE_EQUIVALENT,The baseline boundary roles are implemented through characteristic exterior states plus optional sponge residuals.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:373; src/r2d/src/RegionalBoundaryCondition.cpp:309; src/r2d/src/RegionalRelaxationZone.cpp; docs/workstream/wbs-reconciliation/g6_model_traceability_matrix.md:11,No baseline boundary-role mismatch.,Keep reflection tests tied to boundary policy changes.,False
R2D-BC-002,Regional2D,Sponge/relaxation source,"S_r=-sigma(x)(U-U_ref), with sigma zero in the interior and increasing through the sponge.","RegionalRelaxationZone adds area*rate*(current-reference) to the residual, yielding damping in the update.",DISCRETE_EQUIVALENT,The sign convention is consistent with residual-form explicit updates.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:375; src/r2d/src/RegionalRelaxationZone.cpp,No source-sign mismatch.,Keep profile parameters in case evidence.,False
R2D-BC-003,Regional2D,Exact radiation/sponge selection,The consolidated model leaves exact radiation condition and sponge profile unresolved pending reflection tests.,Characteristic radiation and relaxation parameters are selected in implementation and supported by accepted G6 evidence.,DOCUMENTATION_AMBIGUITY,"The implementation is accepted, but the consolidated text still describes this as unresolved.",docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:387; src/r2d/src/RegionalBoundaryCondition.cpp:309; docs/workstream/wbs-reconciliation/g6_model_traceability_matrix.md:32; docs/workstream/wbs-reconciliation/g6_model_traceability_matrix.md:33,Documentation ambiguity only; not a mathematical mismatch.,Update model text to cite the accepted characteristic/open-ocean damped policies.,False
R2D-WD-001,Regional2D,Wet/dry treatment,"Dry cells use h<h_dry, avoid division by vanishing depth, enforce nonnegative depths, and control momentum.",Hydrostatic reconstruction clips depths and WetDryUpdate/PositivityTimestep enforce admissible updates.,DISCRETE_EQUIVALENT,The required wet/dry behavior is represented by discrete positivity and canonicalisation rules.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:495; src/r2d/src/HydrostaticReconstruction.cpp:81; src/r2d/src/WetDryUpdate.cpp; src/r2d/src/PositivityTimestep.cpp,No model mismatch.,Maintain shoreline regression tests before changing reconstruction.,False
R2D-RECON-001,Regional2D,Piecewise-constant verification baseline,The numerical formulation should begin with piecewise-constant states for verification.,Current Regional2D residual uses cell-local owner/neighbour states with hydrostatic reconstruction.,DISCRETE_EQUIVALENT,This is the accepted low-order baseline used by the frozen-terrain convergence evidence.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:435; src/r2d/src/WellBalancedResidualEvaluation.cpp; docs/workstream/SWE - Software/SWE-VER/SWE-VER-CONV/C1A/regional2d_r6_numerical_method_audit.json,"The R6 non-convergence diagnosis is a numerical-method limitation, not a model mismatch.",Treat higher-order reconstruction as a scheme improvement.,False
R2D-RECON-002,Regional2D,Limited linear reconstruction,Limited linear reconstruction may be introduced after constant/linear manufactured-field evidence.,No production MUSCL/limited-gradient Regional2D solver is active in the baseline.,DEFERRED,"The model text frames this as a later numerical upgrade, not a required physical model feature.",docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:437; docs/workstream/SWE - Software/SWE-VER/SWE-VER-CONV/C1A/regional2d_r6_diagnosis.json,This is the intended next numerical scheme improvement area.,Proceed only as a numerical-discretisation change with frozen physics and terrain.,False
R2D-TIME-001,Regional2D,Explicit SSP Runge-Kutta,The baseline uses explicit FE for component tests and SSPRK2/SSPRK3 for production.,"RegionalTimeIntegration supports FE, SSPRK2, and SSPRK3 with stable timestep checks.",EXACT_MATCH,The documented explicit time-integration family is implemented.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:513; src/r2d/src/RegionalTimeIntegration.cpp:453; docs/workstream/wbs-reconciliation/g6_model_traceability_matrix.md:5,No model mismatch.,Temporal-convergence work remains separate from spatial scheme changes.,False
R2D-TIME-002,Regional2D,CFL and positivity restrictions,"A gravity-wave CFL timestep is used, with additional source/relaxation restrictions.","CflTimestep, PositivityTimestep, RegionalSourceTimestep, and RelaxationTimestep estimates are combined.",DISCRETE_EQUIVALENT,The implementation uses the documented timestep controls in discrete form.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:515; src/r2d/src/RegionalTimeIntegration.cpp:88; src/r2d/src/RegionalTimeIntegration.cpp:156; src/r2d/src/CflTimestep.cpp,No blocker.,Preserve timestep policy when isolating spatial convergence.,False
R2D-TIME-003,Regional2D,Accept/retry step sequence,The model solve sequence allows accepting a step or reducing dt and retrying.,attempt_regional_explicit_step returns accepted or retry_with_smaller_timestep based on stable estimates.,IMPLEMENTATION_EXTENSION,The retry machinery is an implementation robustness mechanism around the explicit model.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:529; src/r2d/src/RegionalTimeIntegration.cpp:172; src/r2d/src/RegionalTimeIntegration.cpp:523,No physics-model issue.,Keep retry diagnostics out of physical-parameter invariance checks.,False
R2D-PARAM-001,Regional2D,Gravity,The regional shallow-water pressure and wave speed use gravitational acceleration g.,Case policy sets gravity_m_per_s2=9.80665 for Kamaishi and C1A frozen-terrain baselines.,EXACT_MATCH,The accepted baseline parameter is explicitly configured.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:315; cases/kamaishi_delivery/case_spec.json:95; docs/workstream/SWE - Software/SWE-VER/SWE-VER-CONV/C1A/physical_parameter_invariance.json,No parameter mismatch.,Keep gravity frozen for spatial-method experiments.,False
R2D-PARAM-002,Regional2D,Manning coefficient,Manning coefficients are case-data inputs; spatial variation is unresolved.,Accepted Kamaishi and frozen-terrain baselines use uniform n=0.025.,DISCRETE_EQUIVALENT,Uniform roughness is a case-data simplification within the documented input space.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:348; cases/kamaishi_delivery/case_spec.json:106; docs/workstream/SWE - Software/SWE-VER/SWE-VER-CONV/C1A/physical_parameter_invariance.json,No model mismatch.,Do not vary roughness in frozen spatial-convergence studies.,False
CPL-EXPORT-001,Coupling,Regional handoff variables,"The regional model exports h, eta, qx, qy, and b along the local inlet section.","Coupling exporter writes metadata and samples with depth, momentum_x, momentum_y, bed_elevation, free_surface_elevation.",EXACT_MATCH,The export contract contains the required handoff variables.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:552; src/r2d_case_runner/src/RegionalFileCaseRunner.cpp:1011; src/r2d_case_runner/src/RegionalFileCaseRunner.cpp:1074,No coupling-contract mismatch.,Keep contract_version increments for future schema changes.,False
CPL-MAP-001,Coupling,Normal and tangential projection,Regional q is projected onto the local inlet normal and tangential directions.,openfoam_replay computes qn and qt from momentum_x/y and configured normal/tangent vectors.,EXACT_MATCH,The projection matches the one-way coupling operator.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:588; tools/openfoam/openfoam_replay.py:751; docs/workstream/wbs-reconciliation/g6_model_traceability_matrix.md:19,No issue.,Retain projection diagnostics for replay regression tests.,False
CPL-MAP-002,Coupling,Depth-uniform velocity lift,A depth-uniform vertical inlet profile is the simplest shallow-water-consistent baseline.,"Replay conversion requires mapping.velocity_profile=depth_uniform and sets vertical_velocity to the configured value, defaulting to zero.",DISCRETE_EQUIVALENT,The implementation uses the documented simplest baseline and rescales to preserve discrete discharge over wet faces.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:607; tools/openfoam/openfoam_replay.py:358; tools/openfoam/openfoam_replay.py:772; tests/fixtures/openfoam/synthetic_replay/replay_config_production.json:57,No coupling-model mismatch.,"Document depth-uniform lift as accepted, not merely unresolved.",False
CPL-MAP-003,Coupling,Free-surface alpha reconstruction,"alpha_in is 1 below eta_R and 0 above eta_R, with a resolved transition across local interface cells.","Replay conversion computes per-face alpha fractions from eta, bed elevation, and vertical face bounds.",DISCRETE_EQUIVALENT,The discrete face-fraction mapping is the finite-volume equivalent of the Heaviside alpha rule.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:597; tools/openfoam/openfoam_replay.py:678; tools/openfoam/openfoam_replay.py:793,No issue.,Keep alpha bounds tests for replay changes.,False
CPL-MAP-004,Coupling,Discharge preservation,The inlet mapping preserves section-integrated normal discharge.,Replay conversion records target and reconstructed normal/tangential discharge residuals.,DISCRETE_EQUIVALENT,The implementation preserves discharge in the discrete support/face quadrature used by the local inlet.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:588; tools/openfoam/openfoam_replay.py:817; docs/workstream/wbs-reconciliation/g6_model_traceability_matrix.md:21,No issue.,Use residual diagnostics as replay acceptance evidence.,False
CPL-ONEWAY-001,Coupling,One-way replay,Regional-to-local coupling is one-way; local reflections are not fed back to Regional2D.,OpenFOAM replay consumes archived Regional2D boundaryData and never updates Regional2D state.,EXACT_MATCH,The implementation matches the accepted one-way coupling assumption.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:609; tools/openfoam/openfoam_replay.py:1301; docs/workstream/wbs-reconciliation/g6_theoretical_model_gate.md:40,No one-way-coupling mismatch.,Keep two-way coupling deferred unless reflection evidence requires it.,False
L3D-EQS-001,Local3D,Incompressible two-phase URANS,The local model solves incompressible immiscible two-phase Navier-Stokes/URANS with VOF.,OpenFOAM Foundation 11 incompressibleVoF dictionaries are generated by openfoam_replay.,DISCRETE_EQUIVALENT,The repository configures an adopted solver backend for the documented equations.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:638; docs/workstream/SWE - Software/SWE-L3D/g6_openfoam_authority_record.json; docs/workstream/wbs-reconciliation/g6_model_traceability_matrix.md:22,No local governing-equation mismatch.,Keep backend/version authority records with future OpenFOAM changes.,False
L3D-VOF-001,Local3D,VOF phase transport,The physical alpha equation is advective and bounded between 0 and 1.,OpenFOAM alpha.water transport is configured and post-run acceptance checks bound alpha.,DISCRETE_EQUIVALENT,The adopted backend implements bounded finite-volume VOF transport.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:661; tools/openfoam/openfoam_replay.py:1564; tools/openfoam/openfoam_replay.py:2507; docs/workstream/wbs-reconciliation/g6_model_traceability_matrix.md:24,No issue.,Keep alpha boundedness acceptance checks.,False
L3D-VOF-002,Local3D,Interface compression,The finite-volume VOF implementation adds bounded interface compression.,OpenFOAM incompressibleVoF provides the production compressive VOF implementation.,IMPLEMENTATION_EXTENSION,Compression is a documented numerical extension of the physical alpha advection equation.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:669; docs/workstream/wbs-reconciliation/g6_model_traceability_matrix.md:24,No physical-model mismatch.,Do not interpret compression as an additional physical phase source.,False
L3D-SST-001,Local3D,k-omega SST turbulence,The selected turbulence baseline is Menter k-omega SST URANS.,Generated OpenFOAM momentumTransport sets simulationType RAS and model kOmegaSST.,EXACT_MATCH,The configured turbulence model matches the selected local closure.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:678; tools/openfoam/openfoam_replay.py:1473; docs/workstream/wbs-reconciliation/g6_model_traceability_matrix.md:27,No issue.,Keep LES comparison deferred.,False
L3D-MAT-001,Local3D,Water-air mixture properties,Mixture properties depend on alpha for water and air density/viscosity.,Generated OpenFOAM phaseProperties and physicalProperties files configure water and air phases.,DISCRETE_EQUIVALENT,The backend receives the required two-phase material-property configuration.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:630; tools/openfoam/openfoam_replay.py:1470; docs/workstream/wbs-reconciliation/g6_model_traceability_matrix.md:25,No issue.,Record any future material calibration separately.,False
L3D-BC-IN-001,Local3D,Coupling inlet,The local inlet is forced by one-way regional replay.,Generated U and alpha.water inlet patches use timeVaryingMappedFixedValue from boundaryData.,DISCRETE_EQUIVALENT,The local inlet receives the mapped regional time series through OpenFOAM native boundaryData.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:728; tools/openfoam/openfoam_replay.py:1476; docs/workstream/SWE - Software/SWE-L3D/g6_openfoam_authority_record.json:93,No baseline boundary mismatch.,Keep one-way inlet as immutable when testing Regional2D scheme changes.,False
L3D-BC-OUT-001,Local3D,Outlet boundary,The local outlet is open/radiation with absorption where required.,"Production replay uses pressureInletOutletVelocity, prghTotalPressure p0=0, variableHeightFlowRate, turbulence inletOutlet, and outlet isotropicDamping.",DISCRETE_EQUIVALENT,The selected OpenFOAM open-ocean policy implements the intended outlet role.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:729; tools/openfoam/openfoam_replay.py:1479; tools/openfoam/openfoam_replay.py:1491; docs/workstream/wbs-reconciliation/g6_model_traceability_matrix.md:32,No issue.,Keep reflection coefficients in boundary-policy evidence.,False
L3D-BC-SIDE-001,Local3D,Lateral boundary,Artificial side boundaries represent continuation of the ocean/coastal field and are not rigid walls.,Production replay uses open-ocean field conditions and lateral isotropicDamping zones; legacy symmetry remains only for schema 1.0.0 fixtures.,DISCRETE_EQUIVALENT,The accepted production policy matches the documented physical role.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:730; tools/openfoam/openfoam_replay.py:1494; docs/workstream/wbs-reconciliation/g6_model_traceability_matrix.md:33,No issue.,Do not regress production laterals to rigid or symmetry-only behavior.,False
L3D-BC-TOP-001,Local3D,Atmosphere boundary,The top boundary is open atmosphere with reference pressure and suitable phase/velocity treatment.,Generated atmosphere patch uses open velocity/pressure/alpha policies.,DISCRETE_EQUIVALENT,The OpenFOAM boundary choices implement the intended open atmospheric role.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:731; tools/openfoam/openfoam_replay.py:1506; tools/openfoam/openfoam_replay.py:1522; docs/workstream/wbs-reconciliation/g6_model_traceability_matrix.md:34,No issue.,Keep top boundary policy in generated boundary_policy.json.,False
L3D-BC-TERRAIN-001,Local3D,Terrain wall,Fixed terrain/topography is impermeable with wall shear treatment.,"Generated terrain wall fields use noSlip, fixedFluxPressure, zeroGradient alpha, and wall functions.",DISCRETE_EQUIVALENT,The OpenFOAM wall policy implements fixed terrain with wall-shear closure.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:732; tools/openfoam/openfoam_replay.py:1485; docs/workstream/wbs-reconciliation/g6_model_traceability_matrix.md:35,No issue.,Keep wall-function evidence with production Local3D runs.,False
L3D-BC-BARRIER-001,Local3D,Rigid barrier wall,The barrier is a fixed rigid obstacle with pressure and viscous traction extraction.,Generated barrier patch is a wall and enables the OpenFOAM forces function object when present.,DISCRETE_EQUIVALENT,The rigid-wall local model is implemented through OpenFOAM wall patches and forces extraction.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:733; tools/openfoam/openfoam_replay.py:1610; docs/workstream/wbs-reconciliation/g6_model_traceability_matrix.md:36,No issue.,Keep deformable/porous barriers out of current baseline claims.,False
L3D-FRC-001,Local3D,Force and moment extraction,Hydrodynamic loading is extracted from pressure and viscous tractions on the barrier.,OpenFOAM forces function object is configured over the barrier patch.,DISCRETE_EQUIVALENT,"Integrated force/moment extraction is available, while full load convergence remains a verification task.",docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:733; tools/openfoam/openfoam_replay.py:1612; docs/workstream/wbs-reconciliation/g6_model_traceability_matrix.md:38,No model mismatch; downstream validation remains open.,Do not require full force convergence before Regional2D spatial-scheme work.,False
L3D-TIME-001,Local3D,Adaptive timestep/CFL control,Local3D uses adaptive timestep/CFL controls for stable VOF evolution.,"Generated controlDict and timestep_policy evidence configure maxCo, maxAlphaCo, and maxDeltaT policy around OpenFOAM controls.",DISCRETE_EQUIVALENT,The local solver timestep policy is implemented through backend configuration and repository evidence.,docs/workstream/wbs-reconciliation/g6_theoretical_model_gate.md:65; tools/openfoam/openfoam_replay.py:1559; docs/workstream/wbs-reconciliation/g6_model_traceability_matrix.md:37,No blocker for Regional2D spatial work.,Keep formal Local3D timestep convergence deferred.,False
HLD-BIDIR-001,Hybrid,Two-way coupling,Two-way coupling is necessary only if local reflection materially changes the incident regional field.,No two-way Regional2D feedback path is implemented.,DEFERRED,The model explicitly accepts one-way replay as the current baseline.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:611; docs/workstream/wbs-reconciliation/g6_theoretical_model_gate.md:40,No current-baseline mismatch.,Revisit only if reflection/placement evidence invalidates one-way replay.,False
HLD-LES-001,Hybrid,Production LES,LES may be used as a later high-fidelity comparison.,The implemented operational local baseline is URANS k-omega SST.,DEFERRED,LES is outside the G6/C1A accepted baseline.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:678; docs/workstream/wbs-reconciliation/g6_theoretical_model_gate.md:93,No blocker.,Keep LES in future verification/validation planning.,False
HLD-FSI-001,Hybrid,Fluid-structure interaction and structural damage,"FSI, deformable structures, damage, scour, and full impact metrics are outside the current gate.",No FSI/damage/scour solver is implemented.,DEFERRED,These features are excluded from the accepted theoretical-model gate.,docs/workstream/wbs-reconciliation/g6_theoretical_model_gate.md:90; docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex,No blocker for numerical scheme work.,Keep excluded features out of model-consistency acceptance criteria.,False
HLD-DISP-001,Hybrid,Regional dispersive correction,No dispersive regional baseline is selected.,"Regional2D implements NLSWE, not Boussinesq/dispersive propagation.",DEFERRED,"Dispersive physics are a future model extension, not a missing required term.",docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex; src/r2d/src/ShallowWaterFlux.cpp,No current-baseline mismatch.,Do not introduce dispersive terms as part of spatial-order repairs.,False
