WBS ID,Level,Issue Title,Parent WBS ID,Gate,Scope Class,Initial Status,Dependencies,Research Inputs,Acceptance,Body Note
SWE-ENV-SMK,Deliverable,[SWE-ENV-SMK] Clean-clone dependency and build smoke test.,SWE-ENV,G0,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-ARC-TGT,Deliverable,[SWE-ARC-TGT] CMake target and dependency graph.,SWE-ARC,G0,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-ARC-LAY,Deliverable,"[SWE-ARC-LAY] Core, application, adapter and UI layer boundaries.",SWE-ARC,G0,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-ARC-CASE,Deliverable,[SWE-ARC-CASE] Simulation-case lifecycle and directory convention.,SWE-ARC,G0,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-ARC-API,Deliverable,"[SWE-ARC-API] Mesh, field, solver, I/O, coupling and observer interfaces.",SWE-ARC,G0,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-ARC-SVC,Deliverable,[SWE-ARC-SVC] Shared application-service and run-orchestration contract for CLI and GUI.,SWE-ARC,G0,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-ARC-ERR,Deliverable,"[SWE-ARC-ERR] Error, status, logging, cancellation and failure-propagation model.",SWE-ARC,G0,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-FVM-MSH,Deliverable,"[SWE-FVM-MSH] Dimension-independent control-volume topology and discrete geometry model, including cells, faces, owner/neighbour connectivity, patches, centroids, volumes, face areas and normals.",SWE-FVM,G1,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-FVM-FLD,Deliverable,"[SWE-FVM-FLD] Typed scalar, vector and tensor field containers with cell-, face- and patch-location semantics.",SWE-FVM,G1,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-FVM-BC,Deliverable,[SWE-FVM-BC] Generic boundary-patch and boundary-condition framework.,SWE-FVM,G1,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-FVM-NUM,Deliverable,"[SWE-FVM-NUM] Shared interpolation, reconstruction, limiter, gradient, divergence and Laplacian infrastructure.",SWE-FVM,G1,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-FVM-LIN,Deliverable,"[SWE-FVM-LIN] Sparse linear-system, solver and preconditioner abstraction.",SWE-FVM,G1,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-FVM-CTL,Deliverable,"[SWE-FVM-CTL] Common residual, corrector, timestep-control and accept/reject infrastructure.",SWE-FVM,G1,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-DAT-CFG,Deliverable,[SWE-DAT-CFG] Versioned simulation-case configuration schema and validation.,SWE-DAT,G1,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-DAT-MAN,Deliverable,"[SWE-DAT-MAN] Versioned dataset and provenance manifest covering provider, source, licence, resolution, CRS, vertical datum, preprocessing and generated artefacts.",SWE-DAT,G1,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-DAT-ING,Deliverable,"[SWE-DAT-ING] Canonical ingestion records for earthquake-source, observation, gauge, run-up, inundation and other scientific datasets not owned by the geospatial raster/vector adapters.",SWE-DAT,G1,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-DAT-SCH,Deliverable,"[SWE-DAT-SCH] Versioned HDF5 result, diagnostic and checkpoint schema.",SWE-DAT,G1,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-DAT-XDMF,Deliverable,[SWE-DAT-XDMF] XDMF descriptors for ParaView-compatible inspection.,SWE-DAT,G1,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-DAT-CHK,Deliverable,"[SWE-DAT-CHK] Restart/checkpoint read, write and compatibility implementation.",SWE-DAT,G1,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-GEO-IMP,Deliverable,"[SWE-GEO-IMP] GeoTIFF, NetCDF and vector-source import adapters.",SWE-GEO,G1,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-GEO-CRS,Deliverable,"[SWE-GEO-CRS] Horizontal CRS, vertical datum and coordinate-transformation handling with provenance.",SWE-GEO,G1,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-GEO-COR,Deliverable,"[SWE-GEO-COR] Evidence-driven Kamaishi and Sendai trajectory/corridor construction, clipping and intermediate-artefact export.",SWE-GEO,G1,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-GEO-TER,Deliverable,"[SWE-GEO-TER] Bathymetry/topography conditioning, merging, resampling and interpolation to the computational representation.",SWE-GEO,G1,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-GEO-MSH,Deliverable,[SWE-GEO-MSH] Reproducible mesh-generation/import workflow and transfer into `SWE-FVM-MSH`.,SWE-GEO,G1,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-GEO-TAG,Deliverable,"[SWE-GEO-TAG] Boundary, terrain, barrier, material and region tagging.",SWE-GEO,G1,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-GEO-BAR,Deliverable,"[SWE-GEO-BAR] Method-neutral fixed terrain and rigid barrier-class descriptors, placement and computational representation.",SWE-GEO,G1,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-GEO-CHK,Deliverable,"[SWE-GEO-CHK] Corridor, terrain, geometry and mesh-validity/quality checks.",SWE-GEO,G1,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-R2D-STA,Deliverable,"[SWE-R2D-STA] Conservative state, primitive-variable recovery and state admissibility.",SWE-R2D,G2,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-R2D-FLX,Deliverable,[SWE-R2D-FLX] Rusanov baseline numerical flux with controlled HLL/HLLC extension points.,SWE-R2D,G2,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-R2D-WB,Deliverable,[SWE-R2D-WB] Hydrostatic reconstruction and lake-at-rest well balancing.,SWE-R2D,G2,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-R2D-WD,Deliverable,[SWE-R2D-WD] Positivity preservation and wetting--drying treatment.,SWE-R2D,G2,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-R2D-SRC,Deliverable,"[SWE-R2D-SRC] Bathymetry, Manning friction, Coriolis and accepted optional source terms.",SWE-R2D,G2,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-R2D-BC,Deliverable,[SWE-R2D-BC] Open/radiation boundaries and sponge/relaxation layers.,SWE-R2D,G2,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-R2D-TIM,Deliverable,[SWE-R2D-TIM] Regional CFL control and accepted explicit time integration.,SWE-R2D,G2,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-R2D-EQK,Deliverable,"[SWE-R2D-EQK] Earthquake, finite-fault and seabed-deformation initialisation interface.",SWE-R2D,G2,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-R2D-SOL,Deliverable,"[SWE-R2D-SOL] Integrated regional solve loop, diagnostics and regional-output production.",SWE-R2D,G2,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-L3D-VOF,Deliverable,"[SWE-L3D-VOF] Bounded compressive VOF transport, phase-state update and mixture-property update.",SWE-L3D,G3,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-L3D-MOM,Deliverable,[SWE-L3D-MOM] Collocated cell-centred URANS momentum-predictor discretisation.,SWE-L3D,G3,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-L3D-PRS,Deliverable,"[SWE-L3D-PRS] Rhie--Chow pressure-consistent face fluxes and PISO-like pressure, velocity and flux correction.",SWE-L3D,G3,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-L3D-SST,Deliverable,[SWE-L3D-SST] `k`--`omega` SST turbulence transport and turbulent-viscosity update.,SWE-L3D,G3,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-L3D-WLF,Deliverable,[SWE-L3D-WLF] Scalable wall-function treatment for terrain and barrier walls.,SWE-L3D,G3,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-L3D-BC,Deliverable,"[SWE-L3D-BC] Regional-forced inlet, open/radiation outlet, lateral open-ocean, atmospheric-top, terrain and barrier boundary conditions.",SWE-L3D,G3,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-L3D-TIM,Deliverable,"[SWE-L3D-TIM] CFL, interface-CFL, gravity-wave and diffusion timestep constraints with timestep rejection.",SWE-L3D,G3,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-L3D-SOL,Deliverable,[SWE-L3D-SOL] Exact transient segregated URANS--VOF solve sequence and field-acceptance loop.,SWE-L3D,G3,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-L3D-FRC,Deliverable,"[SWE-L3D-FRC] Barrier pressure, shear, traction, force and moment integration.",SWE-L3D,G3,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-CPL-IFC,Deliverable,"[SWE-CPL-IFC] Regional/local state, coordinate, convention and interface specification.",SWE-CPL,G4,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-CPL-RPL,Deliverable,[SWE-CPL-RPL] Versioned regional-output and local replay-boundary format.,SWE-CPL,G4,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-CPL-MAP,Deliverable,[SWE-CPL-MAP] Spatial mapping and temporal interpolation from regional output to the local interface.,SWE-CPL,G4,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-CPL-BC,Deliverable,[SWE-CPL-BC] Reconstruction of three-dimensional local inlet conditions from depth-averaged regional variables.,SWE-CPL,G4,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-CPL-MET,Deliverable,"[SWE-CPL-MET] Run-up, overtopping, transmission, pressure, force, moment, impulse and energy metric implementation.",SWE-CPL,G4,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-CPL-CMP,Deliverable,[SWE-CPL-CMP] Reproducible wall-type versus obstacle/dissipating barrier comparison runner.,SWE-CPL,G4,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-GUI-SHL,Deliverable,[SWE-GUI-SHL] Qt Quick/QML application shell and navigation structure.,SWE-GUI,G0,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-GUI-CAS,Deliverable,"[SWE-GUI-CAS] Data, corridor, domain, mesh, physics, solver and output case editor.",SWE-GUI,G1,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-GUI-RUN,Deliverable,"[SWE-GUI-RUN] Headless-process launch, monitoring, cancellation and run-state control.",SWE-GUI,G0/G1,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-GUI-LOG,Deliverable,"[SWE-GUI-LOG] Structured log, warning, residual and diagnostic presentation.",SWE-GUI,G0/G1,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-GUI-VIS,Deliverable,[SWE-GUI-VIS] Lightweight terrain/mesh/field preview and ParaView hand-off.,SWE-GUI,G1,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-GUI-POST,Deliverable,"[SWE-GUI-POST] Result catalogue, case comparison and metric-history views.",SWE-GUI,G0/G1,Active baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-VER-UNIT,Deliverable,"[SWE-VER-UNIT] Unit tests for data structures, geometry, operators, schemas and solver components.",SWE-VER,G0,Continuous baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-VER-ACC,Deliverable,"[SWE-VER-ACC] Runtime acceptance checks for mass conservation, bounded volume fraction, positive turbulence variables, residual tolerances, CFL limits and timestep acceptance.",SWE-VER,Continuous,Continuous baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-VER-BMK,Deliverable,[SWE-VER-BMK] Regional and local solver-capability benchmark suite.,SWE-VER,Continuous,Continuous baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-VER-REG,Deliverable,"[SWE-VER-REG] Regression, restart reproducibility, schema round-trip and reference-result tests.",SWE-VER,G1,Continuous baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-VER-CONV,Deliverable,[SWE-VER-CONV] Mesh- and timestep-convergence study harness.,SWE-VER,Continuous,Continuous baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-VER-VAL,Deliverable,"[SWE-VER-VAL] Observation, Tohoku hydrodynamic and impact/loading comparison harness; execution and acceptance remain governed by `RES-VER`.",SWE-VER,Continuous,Continuous baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-HPC-PROF,Deliverable,"[SWE-HPC-PROF] Serial performance, memory and scalability baseline.",SWE-HPC,Post-G5,Deferred,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-HPC-SIMD,Deliverable,[SWE-HPC-SIMD] Vectorisation and data-layout optimisation.,SWE-HPC,Post-G5,Deferred,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-HPC-OMP,Deliverable,[SWE-HPC-OMP] Shared-memory parallel execution.,SWE-HPC,Post-G5,Deferred,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-HPC-MPI,Deliverable,[SWE-HPC-MPI] Distributed-memory decomposition and execution.,SWE-HPC,Post-G5,Deferred,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-HPC-GPU,Deliverable,[SWE-HPC-GPU] GPU execution backend after profiling and interface stabilisation.,SWE-HPC,Post-G5,Deferred,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-HPC-AIO,Deliverable,[SWE-HPC-AIO] Bounded asynchronous and parallel I/O optimisation.,SWE-HPC,Post-G5,Deferred,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-STR-LOD,Deliverable,[SWE-STR-LOD] Fluid-to-structure hydrodynamic load-transfer interface.,SWE-STR,Post-G5,Stretch,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-STR-MAT,Deliverable,[SWE-STR-MAT] Material and structural-model adapter.,SWE-STR,Post-G5,Stretch,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-STR-FEM,Deliverable,[SWE-STR-FEM] Deformable structural discretisation and solver.,SWE-STR,Post-G5,Stretch,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-STR-DMG,Deliverable,"[SWE-STR-DMG] Damage, failure and material-response extension.",SWE-STR,Post-G5,Stretch,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-STR-FSI,Deliverable,[SWE-STR-FSI] Two-way fluid--structure coupling and feedback.,SWE-STR,Post-G5,Stretch,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-REL-CI,Deliverable,"[SWE-REL-CI] Automated configure, build, test and artefact workflows.",SWE-REL,G0,Continuous baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-REL-PKG,Deliverable,[SWE-REL-PKG] Cross-platform application and runtime packaging.,SWE-REL,G0 onward,Continuous baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-REL-DOC,Deliverable,"[SWE-REL-DOC] Developer, user, case-schema and scientific-software documentation.",SWE-REL,G0 onward,Continuous baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-REL-REP,Deliverable,"[SWE-REL-REP] Versioned reproducibility bundle containing configuration, manifests, environment, test evidence and release artefacts.",SWE-REL,G0 onward,Continuous baseline,Backlog,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-ENV-STACK-WP1,Work Package,[SWE-ENV-STACK-WP1] Confirm the production software stack,SWE-ENV-STACK,G0,Active baseline,Ready,,,"Every active dependency has a project role, owner, version policy and fallback decision.",
SWE-ENV-STACK-WP1-T1,Task,[SWE-ENV-STACK-WP1-T1] Map required capabilities to mandatory and optional dependencies.,SWE-ENV-STACK-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ENV-STACK-WP1-T2,Task,"[SWE-ENV-STACK-WP1-T2] Record selected libraries, versions, alternatives and deferred components.",SWE-ENV-STACK-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ENV-STACK-WP1-T3,Task,[SWE-ENV-STACK-WP1-T3] Approve the stack decision register and downstream ownership.,SWE-ENV-STACK-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ENV-BLD-WP1,Work Package,[SWE-ENV-BLD-WP1] Create the target-based CMake scaffold,SWE-ENV-BLD,G0,Active baseline,Backlog,SWE-ENV-STACK-WP1,,All skeleton targets configure and build without global include/link state.,
SWE-ENV-BLD-WP1-T1,Task,[SWE-ENV-BLD-WP1-T1] Define the CMake/C++20 baseline and root project configuration.,SWE-ENV-BLD-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ENV-BLD-WP1-T2,Task,"[SWE-ENV-BLD-WP1-T2] Create library, CLI, Qt application and test target skeletons.",SWE-ENV-BLD-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ENV-BLD-WP1-T3,Task,"[SWE-ENV-BLD-WP1-T3] Apply target-scoped include paths, compile features and warnings.",SWE-ENV-BLD-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ENV-DEP-WP1,Work Package,[SWE-ENV-DEP-WP1] Establish reproducible dependency acquisition,SWE-ENV-DEP,G0,Active baseline,Backlog,SWE-ENV-STACK-WP1,,Dependency restoration is deterministic from repository-controlled metadata.,
SWE-ENV-DEP-WP1-T1,Task,[SWE-ENV-DEP-WP1-T1] Create the dependency manifest and pinned baseline.,SWE-ENV-DEP-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ENV-DEP-WP1-T2,Task,"[SWE-ENV-DEP-WP1-T2] Separate mandatory, GUI, geospatial, test and optional feature groups.",SWE-ENV-DEP-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ENV-DEP-WP1-T3,Task,[SWE-ENV-DEP-WP1-T3] Document supported acquisition and cache behaviour.,SWE-ENV-DEP-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ENV-PRS-WP1,Work Package,"[SWE-ENV-PRS-WP1] Define shared configure, build and test presets",SWE-ENV-PRS,G0,Active baseline,Backlog,SWE-ENV-BLD-WP1; SWE-ENV-DEP-WP1,,"The documented preset commands reproduce configuration, build and test workflows.",
SWE-ENV-PRS-WP1-T1,Task,"[SWE-ENV-PRS-WP1-T1] Create developer, release and CI configure presets.",SWE-ENV-PRS-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ENV-PRS-WP1-T2,Task,[SWE-ENV-PRS-WP1-T2] Create matching build and test presets with platform inheritance.,SWE-ENV-PRS-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ENV-PRS-WP1-T3,Task,[SWE-ENV-PRS-WP1-T3] Document preset selection and local override rules.,SWE-ENV-PRS-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ENV-LIC-WP1,Work Package,[SWE-ENV-LIC-WP1] Create the dependency licence register,SWE-ENV-LIC,G0,Active baseline,Backlog,SWE-ENV-STACK-WP1,,No selected dependency lacks an identified licence and redistribution decision.,
SWE-ENV-LIC-WP1-T1,Task,"[SWE-ENV-LIC-WP1-T1] Capture licence identifier, source and notice requirements for each dependency.",SWE-ENV-LIC-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ENV-LIC-WP1-T2,Task,"[SWE-ENV-LIC-WP1-T2] Record linking, redistribution and runtime-library implications.",SWE-ENV-LIC-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ENV-LIC-WP1-T3,Task,[SWE-ENV-LIC-WP1-T3] Define release-time licence verification.,SWE-ENV-LIC-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ENV-SMK-WP1,Work Package,[SWE-ENV-SMK-WP1] Implement the clean-clone smoke test,SWE-ENV-SMK,G0,Active baseline,Backlog,SWE-ENV-PRS-WP1; SWE-GUI-SHL-WP1; SWE-VER-UNIT-WP1,,"A clean clone completes configure, build and smoke-test steps using documented commands.",
SWE-ENV-SMK-WP1-T1,Task,[SWE-ENV-SMK-WP1-T1] Define a clean environment and dependency restoration procedure.,SWE-ENV-SMK-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ENV-SMK-WP1-T2,Task,"[SWE-ENV-SMK-WP1-T2] Build the core, CLI, Qt shell and test targets from that environment.",SWE-ENV-SMK-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ENV-SMK-WP1-T3,Task,[SWE-ENV-SMK-WP1-T3] Record pass/fail evidence and remediate undocumented prerequisites.,SWE-ENV-SMK-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ARC-TGT-WP1,Work Package,[SWE-ARC-TGT-WP1] Lock the target and dependency graph,SWE-ARC-TGT,G0,Active baseline,Backlog,SWE-ENV-BLD-WP1,,The target graph has no UI-to-core or adapter-to-domain ownership inversion.,
SWE-ARC-TGT-WP1-T1,Task,[SWE-ARC-TGT-WP1-T1] Define named CMake targets and allowed dependency directions.,SWE-ARC-TGT-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ARC-TGT-WP1-T2,Task,[SWE-ARC-TGT-WP1-T2] Identify public/private interfaces and adapter boundaries.,SWE-ARC-TGT-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ARC-TGT-WP1-T3,Task,[SWE-ARC-TGT-WP1-T3] Add a machine-checkable or reviewable dependency map.,SWE-ARC-TGT-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
