model_component,mathematical_role,governing_equation_or_condition,implementation_route,implementation_authority,repository_location,configuration_location,test_evidence,run_evidence,wbs_id,g6_status,remaining_gap
terrain interpolation,Bathymetry/topography conditioning,Resampling/conditioning to computational terrain grid,repository-native implementation plus external geospatial library,tsunami::geo + GDAL,src/geo/src/TerrainConditioning.cpp; tools/cases/kamaishi_delivery.py,cases/kamaishi_delivery/case_spec.json,tests/geo/terrain_conditioning_tests.cpp; tests/cases/test_kamaishi_delivery.py,PR #271 accepted Kamaishi 1800 s Regional2D run and 300 s Local3D replay,SWE-GEO-TER,accepted,
coupling coordinate transform,Regional/local frame mapping,Regional inward normal/tangent to local inlet/span/vertical axes,repository-native implementation,tools/openfoam,tools/openfoam/openfoam_replay.py,tests/fixtures/openfoam/synthetic_replay/replay_config.json,tests/openfoam/test_openfoam_replay.py; tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-CPL-IFC,accepted,
coupling spatial interpolation,Map section samples across inlet,piecewise_linear_along_section with support-width inference,repository-native implementation,tools/openfoam,tools/openfoam/openfoam_replay.py,tests/fixtures/openfoam/synthetic_replay/replay_config.json,tests/openfoam/test_openfoam_replay.py; tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-CPL-MAP,accepted,
coupling temporal handling,Replay time contract,Versioned history/samples time series and selected shifted replay window,repository-native implementation,tools/cases + tools/openfoam,tools/cases/select_kamaishi_replay_window.py; tools/cases/kamaishi_delivery.py,replay_config.json generated by tools/cases/kamaishi_delivery.py,tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-CPL-RPL,accepted,
velocity reconstruction,3D inlet velocity from depth-averaged momentum,depth_uniform normal/tangential projection; vertical velocity 0,repository-native implementation,tools/openfoam,tools/openfoam/openfoam_replay.py,tests/fixtures/openfoam/synthetic_replay/replay_config.json,tests/openfoam/test_openfoam_replay.py; tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-CPL-BC,accepted,
alpha reconstruction,VOF inlet free surface,"alpha.water face fraction from bed, eta and vertical face bounds",repository-native implementation feeding adopted backend,tools/openfoam -> OpenFOAM,tools/openfoam/openfoam_replay.py,tests/fixtures/openfoam/synthetic_replay/replay_config.json,tests/openfoam/test_openfoam_replay.py; tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-CPL-BC,accepted,
discharge preservation,Discrete inflow consistency,normal/tangential discharge residual diagnostics,repository-native implementation,tools/openfoam,tools/openfoam/openfoam_replay.py,replay_diagnostics.csv generated by conversion,tests/openfoam/test_openfoam_replay.py; tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-CPL-BC,accepted,
3D continuity,Incompressible two-phase mass conservation,div(U)=0 pressure-corrected incompressible flow,adopted OpenFOAM component,OpenFOAM Foundation 11 incompressibleVoF,tools/openfoam/openfoam_replay.py generates fvSolution/controlDict,system/fvSolution; system/controlDict,tests/openfoam/test_openfoam_replay.py; tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-L3D-PRS,accepted_baseline,
3D momentum,Local URANS momentum,Transient incompressible momentum predictor/corrector,adopted OpenFOAM component,OpenFOAM Foundation 11 incompressibleVoF,tools/openfoam/openfoam_replay.py,system/fvSchemes; system/fvSolution; 0/U,tests/openfoam/test_openfoam_replay.py; tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-L3D-MOM,accepted_baseline,
VOF transport,Free-surface transport,MPLIC/compressive alpha.water transport,adopted OpenFOAM component,OpenFOAM Foundation 11 incompressibleVoF,tools/openfoam/openfoam_replay.py,system/fvSchemes; system/fvSolution; 0/alpha.water,tests/openfoam/test_openfoam_replay.py; tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-L3D-VOF,accepted_baseline,
mixture properties,Water/air material properties,"Two immiscible phases with density, viscosity and surface tension",configuration of adopted backend,repository dictionaries consumed by OpenFOAM,tools/openfoam/openfoam_replay.py,constant/phaseProperties; constant/physicalProperties.water; constant/physicalProperties.air,tests/openfoam/test_openfoam_replay.py; tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-L3D-VOF,accepted_baseline,
pressure-velocity correction,Incompressibility coupling,PIMPLE/PISO-like p_rgh correction and flux consistency,adopted OpenFOAM component,OpenFOAM Foundation 11 incompressibleVoF,tools/openfoam/openfoam_replay.py,system/fvSolution; 0/p_rgh,tests/openfoam/test_openfoam_replay.py; tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-L3D-PRS,accepted_baseline,
k transport,Turbulent kinetic energy,k equation in k-omega SST RAS model,adopted OpenFOAM component,OpenFOAM Foundation 11 kOmegaSST,tools/openfoam/openfoam_replay.py,constant/momentumTransport; 0/k,tests/openfoam/test_openfoam_replay.py; tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-L3D-SST,accepted_baseline,
omega transport,Specific dissipation rate,omega equation in k-omega SST RAS model,adopted OpenFOAM component,OpenFOAM Foundation 11 kOmegaSST,tools/openfoam/openfoam_replay.py,constant/momentumTransport; 0/omega,tests/openfoam/test_openfoam_replay.py; tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-L3D-SST,accepted_baseline,
turbulent viscosity,RAS eddy viscosity,nut from k-omega SST closure,adopted OpenFOAM component,OpenFOAM Foundation 11 kOmegaSST,tools/openfoam/openfoam_replay.py,constant/momentumTransport; 0/nut,tests/openfoam/test_openfoam_replay.py; tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-L3D-SST,accepted_baseline,
wall functions,Near-wall turbulence closure,"kqRWallFunction, omegaWallFunction and nutkWallFunction on wall patches",configuration of adopted backend,repository dictionaries consumed by OpenFOAM,tools/openfoam/openfoam_replay.py,0/k; 0/omega; 0/nut,tests/openfoam/test_openfoam_replay.py; tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-L3D-WLF,partial,"Needs y+ evidence, applicability, roughness policy, mesh-resolution consistency and load sensitivity."
inlet boundary,Coupling-forced local inlet,timeVaryingMappedFixedValue U and alpha.water from boundaryData,configuration of adopted backend,repository dictionaries and boundaryData consumed by OpenFOAM,tools/openfoam/openfoam_replay.py,0/U; 0/alpha.water; constant/boundaryData/inlet,tests/openfoam/test_openfoam_replay.py; tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-L3D-BC,accepted_baseline,
outlet boundary,Downstream local outflow,inletOutlet U/alpha and fixedFluxPressure p_rgh,configuration of adopted backend,repository dictionaries consumed by OpenFOAM,tools/openfoam/openfoam_replay.py,0/U; 0/alpha.water; 0/p_rgh,tests/openfoam/test_openfoam_replay.py; tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-L3D-BC,accepted_baseline,
lateral boundary,Side boundary policy,symmetryPlane in current smoke/replay mode,configuration of adopted backend,repository dictionaries consumed by OpenFOAM,tools/openfoam/openfoam_replay.py,0/* side patches,tests/openfoam/test_openfoam_replay.py; tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-L3D-BC,partial,Needs production lateral open-ocean policy and reflection evidence.
atmosphere boundary,Open top boundary,pressureInletOutletVelocity/prghTotalPressure/inletOutlet alpha,configuration of adopted backend,repository dictionaries consumed by OpenFOAM,tools/openfoam/openfoam_replay.py,0/U; 0/alpha.water; 0/p_rgh,tests/openfoam/test_openfoam_replay.py; tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-L3D-BC,accepted_baseline,
terrain wall,Impermeable bed/terrain,noSlip/fixedFluxPressure/zeroGradient wall fields,configuration of adopted backend,repository dictionaries consumed by OpenFOAM,tools/openfoam/openfoam_replay.py,0/* terrain patches,tests/openfoam/test_openfoam_replay.py; tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-L3D-BC,accepted_baseline,
barrier wall,Rigid wall obstacle,noSlip fixed rigid barrier patch with force function object,configuration of adopted backend,repository dictionaries consumed by OpenFOAM,tools/openfoam/openfoam_replay.py,system/blockMeshDict; system/controlDict,tests/openfoam/test_openfoam_replay.py; tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-L3D-FRC,accepted_baseline,
time-step control,Adaptive local timestep,"adjustTimeStep with maxCo, maxAlphaCo and maxDeltaT",configuration of adopted backend,repository dictionaries consumed by OpenFOAM,tools/openfoam/openfoam_replay.py; tools/cases/kamaishi_delivery.py,system/controlDict; generated replay_config.json,tests/openfoam/test_openfoam_replay.py; tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-L3D-TIM,partial,Needs diffusion constraint evidence and rejected-step/recovery disposition.
force and moment extraction,Barrier load extraction,OpenFOAM forces function object over barrier patch,configuration of adopted backend,repository dictionaries consumed by OpenFOAM,tools/openfoam/openfoam_replay.py,system/controlDict forces function,tests/openfoam/test_openfoam_replay.py; tests/cases/test_kamaishi_delivery.py,PR #270 synthetic smoke; PR #271 real-data no_defence and simple_rigid_barrier acceptance,SWE-L3D-FRC,accepted_baseline,"Surface pressure/shear distributions, traction vectors, impulse and load convergence remain for full issue closure."
