wbs_id,issue_number,title,level,parent_wbs,current_state,recommended_disposition,gate_relevance,implementation_route,evidence,remaining_acceptance,recommended_issue_action
SWE-VER,11,[SWE-VER] Verification and Validation Support,Domain,SWE,open,partial,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-HPC,12,[SWE-HPC] Performance and Parallelism,Domain,SWE,open,deferred,post_g6,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,"MPI scaling, CPU affinity and GPU feasibility after G6",Keep open; mark post-G6 in reconciliation ledger and Project fields where supported.
SWE-STR,13,[SWE-STR] Structural Response and FSI,Domain,SWE,open,deferred,post_g6,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-REL,14,"[SWE-REL] CI, Documentation and Deployment",Domain,SWE,open,partial,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-ENV-STACK,15,[SWE-ENV-STACK] Software stack and dependency decision register.,Deliverable,SWE-ENV,closed,complete_native,excluded_from_current_scope,Native,Issue is already closed with state_reason=completed; existing closure evidence is retained in GitHub comments or linked PRs where available.,,No automatic issue mutation; preserve current state.
SWE-ENV-BLD,16,[SWE-ENV-BLD] Target-based CMake build system.,Deliverable,SWE-ENV,closed,complete_native,excluded_from_current_scope,Native,Issue is already closed with state_reason=completed; existing closure evidence is retained in GitHub comments or linked PRs where available.,,No automatic issue mutation; preserve current state.
SWE-ENV-DEP,17,[SWE-ENV-DEP] Reproducible dependency manifest and version baseline.,Deliverable,SWE-ENV,closed,complete_native,excluded_from_current_scope,Native,Issue is already closed with state_reason=completed; existing closure evidence is retained in GitHub comments or linked PRs where available.,,No automatic issue mutation; preserve current state.
SWE-ENV-PRS,18,"[SWE-ENV-PRS] Shared configure, build and test presets.",Deliverable,SWE-ENV,closed,complete_native,excluded_from_current_scope,Native,Issue is already closed with state_reason=completed; existing closure evidence is retained in GitHub comments or linked PRs where available.,,No automatic issue mutation; preserve current state.
SWE-ENV-LIC,19,[SWE-ENV-LIC] Dependency licence and redistribution register.,Deliverable,SWE-ENV,closed,complete_native,excluded_from_current_scope,Native,Issue is already closed with state_reason=completed; existing closure evidence is retained in GitHub comments or linked PRs where available.,,No automatic issue mutation; preserve current state.
SWE-ENV-SMK,20,[SWE-ENV-SMK] Clean-clone dependency and build smoke test.,Deliverable,SWE-ENV,open,partial,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-ARC-TGT,21,[SWE-ARC-TGT] CMake target and dependency graph.,Deliverable,SWE-ARC,closed,complete_native,excluded_from_current_scope,Native,Issue is already closed with state_reason=completed; existing closure evidence is retained in GitHub comments or linked PRs where available.,,No automatic issue mutation; preserve current state.
SWE-ARC-LAY,22,"[SWE-ARC-LAY] Core, application, adapter and UI layer boundaries.",Deliverable,SWE-ARC,closed,complete_native,excluded_from_current_scope,Native,Issue is already closed with state_reason=completed; existing closure evidence is retained in GitHub comments or linked PRs where available.,,No automatic issue mutation; preserve current state.
SWE-ARC-CASE,23,[SWE-ARC-CASE] Simulation-case lifecycle and directory convention.,Deliverable,SWE-ARC,closed,complete_native,excluded_from_current_scope,Native,Issue is already closed with state_reason=completed; existing closure evidence is retained in GitHub comments or linked PRs where available.,,No automatic issue mutation; preserve current state.
SWE-ARC-API,24,"[SWE-ARC-API] Mesh, field, solver, I/O, coupling and observer interfaces.",Deliverable,SWE-ARC,closed,complete_native,excluded_from_current_scope,Native,Issue is already closed with state_reason=completed; existing closure evidence is retained in GitHub comments or linked PRs where available.,,No automatic issue mutation; preserve current state.
SWE-ARC-SVC,25,[SWE-ARC-SVC] Shared application-service and run-orchestration contract for CLI and GUI.,Deliverable,SWE-ARC,closed,complete_native,excluded_from_current_scope,Native,Issue is already closed with state_reason=completed; existing closure evidence is retained in GitHub comments or linked PRs where available.,,No automatic issue mutation; preserve current state.
SWE-ARC-ERR,26,"[SWE-ARC-ERR] Error, status, logging, cancellation and failure-propagation model.",Deliverable,SWE-ARC,closed,complete_native,excluded_from_current_scope,Native,Issue is already closed with state_reason=completed; existing closure evidence is retained in GitHub comments or linked PRs where available.,,No automatic issue mutation; preserve current state.
SWE-FVM-MSH,27,"[SWE-FVM-MSH] Dimension-independent control-volume topology and discrete geometry model, including cells, faces, owner/neighbour connectivity, patches, centroids, volumes, face areas and normals.",Deliverable,SWE-FVM,open,partial,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-FVM-FLD,28,"[SWE-FVM-FLD] Typed scalar, vector and tensor field containers with cell-, face- and patch-location semantics.",Deliverable,SWE-FVM,open,partial,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-FVM-BC,29,[SWE-FVM-BC] Generic boundary-patch and boundary-condition framework.,Deliverable,SWE-FVM,open,partial,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-FVM-NUM,30,"[SWE-FVM-NUM] Shared interpolation, reconstruction, limiter, gradient, divergence and Laplacian infrastructure.",Deliverable,SWE-FVM,open,partial,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-FVM-LIN,31,"[SWE-FVM-LIN] Sparse linear-system, solver and preconditioner abstraction.",Deliverable,SWE-FVM,open,partial,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-FVM-CTL,32,"[SWE-FVM-CTL] Common residual, corrector, timestep-control and accept/reject infrastructure.",Deliverable,SWE-FVM,open,partial,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-DAT-CFG,33,[SWE-DAT-CFG] Versioned simulation-case configuration schema and validation.,Deliverable,SWE-DAT,closed,complete_native,g6_required,Native + external library,Issue is already closed with state_reason=completed; existing closure evidence is retained in GitHub comments or linked PRs where available.,,No automatic issue mutation; preserve current state.
SWE-DAT-MAN,34,"[SWE-DAT-MAN] Versioned dataset and provenance manifest covering provider, source, licence, resolution, CRS, vertical datum, preprocessing and generated artefacts.",Deliverable,SWE-DAT,closed,complete_native,g6_required,Native + external library,Issue is already closed with state_reason=completed; existing closure evidence is retained in GitHub comments or linked PRs where available.,,No automatic issue mutation; preserve current state.
SWE-DAT-ING,35,"[SWE-DAT-ING] Canonical ingestion records for earthquake-source, observation, gauge, run-up, inundation and other scientific datasets not owned by the geospatial raster/vector adapters.",Deliverable,SWE-DAT,open,partial,g6_required,Native + external library,PR #269 / merge commit 5de4a2f binds USGS Tohoku finite-fault input into Regional2D.; tools/earthquake/tohoku_usgs_finite_fault.py parses USGS basic_inversion.param and writes vertical seabed displacement artifacts.; data/source/earthquake/README.md records the locked USGS source URL and manual acquisition path.; tests/cases/test_tohoku_producer_crs.py covers projected-grid source handling.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-DAT-SCH,36,"[SWE-DAT-SCH] Versioned HDF5 result, diagnostic and checkpoint schema.",Deliverable,SWE-DAT,open,not_started,post_g6,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,"versioned HDF5 schema, adapters and compatibility checks",No automatic issue mutation; preserve current state.
SWE-DAT-XDMF,37,[SWE-DAT-XDMF] XDMF descriptors for ParaView-compatible inspection.,Deliverable,SWE-DAT,open,not_started,post_g6,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,HDF5-backed XDMF descriptors and validation,No automatic issue mutation; preserve current state.
SWE-DAT-CHK,38,"[SWE-DAT-CHK] Restart/checkpoint read, write and compatibility implementation.",Deliverable,SWE-DAT,open,partial,post_g6,Native + external library,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-GEO-IMP,39,"[SWE-GEO-IMP] GeoTIFF, NetCDF and vector-source import adapters.",Deliverable,SWE-GEO,closed,complete_native,g6_required,Native + external library,"PR #271 / merge commit 1ba6475 constructs the Kamaishi corridor, CRS target, terrain conditioning and nearshore interface in cases/kamaishi_delivery/case_spec.json and tools/cases/kamaishi_delivery.py.",,No automatic issue mutation; preserve current state.
SWE-GEO-CRS,40,"[SWE-GEO-CRS] Horizontal CRS, vertical datum and coordinate-transformation handling with provenance.",Deliverable,SWE-GEO,closed,complete_native,g6_required,Native + external library,"PR #271 / merge commit 1ba6475 constructs the Kamaishi corridor, CRS target, terrain conditioning and nearshore interface in cases/kamaishi_delivery/case_spec.json and tools/cases/kamaishi_delivery.py.",,No automatic issue mutation; preserve current state.
SWE-GEO-COR,41,"[SWE-GEO-COR] Evidence-driven Kamaishi and Sendai trajectory/corridor construction, clipping and intermediate-artefact export.",Deliverable,SWE-GEO,closed,complete_native,g6_required,Native + external library,"PR #271 / merge commit 1ba6475 constructs the Kamaishi corridor, CRS target, terrain conditioning and nearshore interface in cases/kamaishi_delivery/case_spec.json and tools/cases/kamaishi_delivery.py.",,No automatic issue mutation; preserve current state.
SWE-GEO-TER,42,"[SWE-GEO-TER] Bathymetry/topography conditioning, merging, resampling and interpolation to the computational representation.",Deliverable,SWE-GEO,closed,complete_native,g6_required,Native + external library,"PR #271 / merge commit 1ba6475 constructs the Kamaishi corridor, CRS target, terrain conditioning and nearshore interface in cases/kamaishi_delivery/case_spec.json and tools/cases/kamaishi_delivery.py.",,No automatic issue mutation; preserve current state.
SWE-GEO-MSH,43,[SWE-GEO-MSH] Reproducible mesh-generation/import workflow and transfer into `SWE-FVM-MSH`.,Deliverable,SWE-GEO,open,partial,g6_required,Native + external library,"PR #271 / merge commit 1ba6475 constructs the Kamaishi corridor, CRS target, terrain conditioning and nearshore interface in cases/kamaishi_delivery/case_spec.json and tools/cases/kamaishi_delivery.py.",acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-GEO-TAG,44,"[SWE-GEO-TAG] Boundary, terrain, barrier, material and region tagging.",Deliverable,SWE-GEO,open,partial,g6_required,Native + external library,"PR #271 / merge commit 1ba6475 constructs the Kamaishi corridor, CRS target, terrain conditioning and nearshore interface in cases/kamaishi_delivery/case_spec.json and tools/cases/kamaishi_delivery.py.",acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-GEO-BAR,45,"[SWE-GEO-BAR] Method-neutral fixed terrain and rigid barrier-class descriptors, placement and computational representation.",Deliverable,SWE-GEO,open,partial,g6_required,Native + external library,"PR #271 / merge commit 1ba6475 constructs the Kamaishi corridor, CRS target, terrain conditioning and nearshore interface in cases/kamaishi_delivery/case_spec.json and tools/cases/kamaishi_delivery.py.",acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-GEO-CHK,46,"[SWE-GEO-CHK] Corridor, terrain, geometry and mesh-validity/quality checks.",Deliverable,SWE-GEO,open,partial,g6_required,Native + external library,"PR #271 / merge commit 1ba6475 constructs the Kamaishi corridor, CRS target, terrain conditioning and nearshore interface in cases/kamaishi_delivery/case_spec.json and tools/cases/kamaishi_delivery.py.",acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-R2D-STA,47,"[SWE-R2D-STA] Conservative state, primitive-variable recovery and state admissibility.",Deliverable,SWE-R2D,closed,complete_native,g6_required,Native,"PR #255 / squash commit 6eda108 closes Regional2D domain #7 and children #47-#55.; PR #268 / merge commit c0f10dc adds the file-driven Regional2D case runner and CSV outputs.; src/r2d/src/* implements NLSWE state, flux, well balancing, wet/dry, source terms, boundaries and solve loop.; src/r2d_case_runner/src/RegionalFileCaseRunner.cpp validates file-driven real-case execution and final physical state.; tests/r2d/* and tests/r2d_io/* cover state, flux, wet/dry, boundary, solve-loop and CSV output behavior.",,No automatic issue mutation; preserve current state.
SWE-R2D-FLX,48,[SWE-R2D-FLX] Rusanov baseline numerical flux with controlled HLL/HLLC extension points.,Deliverable,SWE-R2D,closed,complete_native,g6_required,Native,"PR #255 / squash commit 6eda108 closes Regional2D domain #7 and children #47-#55.; PR #268 / merge commit c0f10dc adds the file-driven Regional2D case runner and CSV outputs.; src/r2d/src/* implements NLSWE state, flux, well balancing, wet/dry, source terms, boundaries and solve loop.; src/r2d_case_runner/src/RegionalFileCaseRunner.cpp validates file-driven real-case execution and final physical state.; tests/r2d/* and tests/r2d_io/* cover state, flux, wet/dry, boundary, solve-loop and CSV output behavior.",,No automatic issue mutation; preserve current state.
SWE-R2D-WB,49,[SWE-R2D-WB] Hydrostatic reconstruction and lake-at-rest well balancing.,Deliverable,SWE-R2D,closed,complete_native,g6_required,Native,"PR #255 / squash commit 6eda108 closes Regional2D domain #7 and children #47-#55.; PR #268 / merge commit c0f10dc adds the file-driven Regional2D case runner and CSV outputs.; src/r2d/src/* implements NLSWE state, flux, well balancing, wet/dry, source terms, boundaries and solve loop.; src/r2d_case_runner/src/RegionalFileCaseRunner.cpp validates file-driven real-case execution and final physical state.; tests/r2d/* and tests/r2d_io/* cover state, flux, wet/dry, boundary, solve-loop and CSV output behavior.",,No automatic issue mutation; preserve current state.
SWE-R2D-WD,50,[SWE-R2D-WD] Positivity preservation and wetting--drying treatment.,Deliverable,SWE-R2D,closed,complete_native,g6_required,Native,"PR #255 / squash commit 6eda108 closes Regional2D domain #7 and children #47-#55.; PR #268 / merge commit c0f10dc adds the file-driven Regional2D case runner and CSV outputs.; src/r2d/src/* implements NLSWE state, flux, well balancing, wet/dry, source terms, boundaries and solve loop.; src/r2d_case_runner/src/RegionalFileCaseRunner.cpp validates file-driven real-case execution and final physical state.; tests/r2d/* and tests/r2d_io/* cover state, flux, wet/dry, boundary, solve-loop and CSV output behavior.",,No automatic issue mutation; preserve current state.
SWE-R2D-SRC,51,"[SWE-R2D-SRC] Bathymetry, Manning friction, Coriolis and accepted optional source terms.",Deliverable,SWE-R2D,closed,complete_native,g6_required,Native,"PR #255 / squash commit 6eda108 closes Regional2D domain #7 and children #47-#55.; PR #268 / merge commit c0f10dc adds the file-driven Regional2D case runner and CSV outputs.; src/r2d/src/* implements NLSWE state, flux, well balancing, wet/dry, source terms, boundaries and solve loop.; src/r2d_case_runner/src/RegionalFileCaseRunner.cpp validates file-driven real-case execution and final physical state.; tests/r2d/* and tests/r2d_io/* cover state, flux, wet/dry, boundary, solve-loop and CSV output behavior.",,No automatic issue mutation; preserve current state.
SWE-R2D-BC,52,[SWE-R2D-BC] Open/radiation boundaries and sponge/relaxation layers.,Deliverable,SWE-R2D,closed,complete_native,g6_required,Native,"PR #255 / squash commit 6eda108 closes Regional2D domain #7 and children #47-#55.; PR #268 / merge commit c0f10dc adds the file-driven Regional2D case runner and CSV outputs.; src/r2d/src/* implements NLSWE state, flux, well balancing, wet/dry, source terms, boundaries and solve loop.; src/r2d_case_runner/src/RegionalFileCaseRunner.cpp validates file-driven real-case execution and final physical state.; tests/r2d/* and tests/r2d_io/* cover state, flux, wet/dry, boundary, solve-loop and CSV output behavior.",,No automatic issue mutation; preserve current state.
SWE-R2D-TIM,53,[SWE-R2D-TIM] Regional CFL control and accepted explicit time integration.,Deliverable,SWE-R2D,closed,complete_native,g6_required,Native,"PR #255 / squash commit 6eda108 closes Regional2D domain #7 and children #47-#55.; PR #268 / merge commit c0f10dc adds the file-driven Regional2D case runner and CSV outputs.; src/r2d/src/* implements NLSWE state, flux, well balancing, wet/dry, source terms, boundaries and solve loop.; src/r2d_case_runner/src/RegionalFileCaseRunner.cpp validates file-driven real-case execution and final physical state.; tests/r2d/* and tests/r2d_io/* cover state, flux, wet/dry, boundary, solve-loop and CSV output behavior.",,No automatic issue mutation; preserve current state.
SWE-R2D-EQK,54,"[SWE-R2D-EQK] Earthquake, finite-fault and seabed-deformation initialisation interface.",Deliverable,SWE-R2D,closed,complete_native,g6_required,Native,"PR #255 / squash commit 6eda108 closes Regional2D domain #7 and children #47-#55.; PR #268 / merge commit c0f10dc adds the file-driven Regional2D case runner and CSV outputs.; src/r2d/src/* implements NLSWE state, flux, well balancing, wet/dry, source terms, boundaries and solve loop.; src/r2d_case_runner/src/RegionalFileCaseRunner.cpp validates file-driven real-case execution and final physical state.; tests/r2d/* and tests/r2d_io/* cover state, flux, wet/dry, boundary, solve-loop and CSV output behavior.",,No automatic issue mutation; preserve current state.
SWE-R2D-SOL,55,"[SWE-R2D-SOL] Integrated regional solve loop, diagnostics and regional-output production.",Deliverable,SWE-R2D,closed,complete_native,g6_required,Native,"PR #255 / squash commit 6eda108 closes Regional2D domain #7 and children #47-#55.; PR #268 / merge commit c0f10dc adds the file-driven Regional2D case runner and CSV outputs.; src/r2d/src/* implements NLSWE state, flux, well balancing, wet/dry, source terms, boundaries and solve loop.; src/r2d_case_runner/src/RegionalFileCaseRunner.cpp validates file-driven real-case execution and final physical state.; tests/r2d/* and tests/r2d_io/* cover state, flux, wet/dry, boundary, solve-loop and CSV output behavior.",,No automatic issue mutation; preserve current state.
SWE-L3D-VOF,56,"[SWE-L3D-VOF] Bounded compressive VOF transport, phase-state update and mixture-property update.",Deliverable,SWE-L3D,open,complete_adopted_backend,g6_required,OpenFOAM adopted,"PR #270 / merge commit dc416f8 adds OpenFOAM 11 replay conversion, case generation, wrapper and synthetic smoke acceptance.; PR #271 / merge commit 1ba6475 adds the Kamaishi end-to-end delivery pipeline and complete 300 s Local3D replay acceptance.; tools/openfoam/openfoam_replay.py generates OpenFOAM dictionaries for incompressibleVoF, kOmegaSST, fields, boundaries, probes and forces.; tools/openfoam/run_openfoam11.sh runs docker.io/openfoam/openfoam11-paraview510:11 with networking disabled.; tools/cases/kamaishi_delivery.py orchestrates no_defence and simple_rigid_barrier OpenFOAM stages and validates outputs.; tests/openfoam/test_openfoam_replay.py and tests/cases/test_kamaishi_delivery.py cover replay conversion, case generation and delivery controls.; PR #271 / merge commit 1ba6475 accepts a real-data pipeline from earthquake source through Regional2D, coupling export, OpenFOAM replay and both Local3D variants.; cases/kamaishi_delivery/case_spec.json records USGS Tohoku, ETOPO 2022, EPSG:32654, EGM2008, Kamaishi interface and model controls.; Accepted run command in PR #271 uses tools/cases/run_kamaishi_hybrid_delivery.py with the etopo-1000m offline profile.; PR #271 records blockMesh/checkMesh/setFields/foamRun/foamToVTK exit status 0 for no_defence and simple_rigid_barrier.; PR #271 records finite final U and p_rgh fields, bounded alpha.water, probe coverage, force coverage and VTK final-time output.",,Add adopted-backend closure comment and close as completed.
SWE-L3D-MOM,57,[SWE-L3D-MOM] Collocated cell-centred URANS momentum-predictor discretisation.,Deliverable,SWE-L3D,open,complete_adopted_backend,g6_required,OpenFOAM adopted,"PR #270 / merge commit dc416f8 adds OpenFOAM 11 replay conversion, case generation, wrapper and synthetic smoke acceptance.; PR #271 / merge commit 1ba6475 adds the Kamaishi end-to-end delivery pipeline and complete 300 s Local3D replay acceptance.; tools/openfoam/openfoam_replay.py generates OpenFOAM dictionaries for incompressibleVoF, kOmegaSST, fields, boundaries, probes and forces.; tools/openfoam/run_openfoam11.sh runs docker.io/openfoam/openfoam11-paraview510:11 with networking disabled.; tools/cases/kamaishi_delivery.py orchestrates no_defence and simple_rigid_barrier OpenFOAM stages and validates outputs.; tests/openfoam/test_openfoam_replay.py and tests/cases/test_kamaishi_delivery.py cover replay conversion, case generation and delivery controls.; PR #271 / merge commit 1ba6475 accepts a real-data pipeline from earthquake source through Regional2D, coupling export, OpenFOAM replay and both Local3D variants.; cases/kamaishi_delivery/case_spec.json records USGS Tohoku, ETOPO 2022, EPSG:32654, EGM2008, Kamaishi interface and model controls.; Accepted run command in PR #271 uses tools/cases/run_kamaishi_hybrid_delivery.py with the etopo-1000m offline profile.; PR #271 records blockMesh/checkMesh/setFields/foamRun/foamToVTK exit status 0 for no_defence and simple_rigid_barrier.; PR #271 records finite final U and p_rgh fields, bounded alpha.water, probe coverage, force coverage and VTK final-time output.",,Add adopted-backend closure comment and close as completed.
SWE-L3D-PRS,58,"[SWE-L3D-PRS] Rhie--Chow pressure-consistent face fluxes and PISO-like pressure, velocity and flux correction.",Deliverable,SWE-L3D,open,complete_adopted_backend,g6_required,OpenFOAM adopted,"PR #270 / merge commit dc416f8 adds OpenFOAM 11 replay conversion, case generation, wrapper and synthetic smoke acceptance.; PR #271 / merge commit 1ba6475 adds the Kamaishi end-to-end delivery pipeline and complete 300 s Local3D replay acceptance.; tools/openfoam/openfoam_replay.py generates OpenFOAM dictionaries for incompressibleVoF, kOmegaSST, fields, boundaries, probes and forces.; tools/openfoam/run_openfoam11.sh runs docker.io/openfoam/openfoam11-paraview510:11 with networking disabled.; tools/cases/kamaishi_delivery.py orchestrates no_defence and simple_rigid_barrier OpenFOAM stages and validates outputs.; tests/openfoam/test_openfoam_replay.py and tests/cases/test_kamaishi_delivery.py cover replay conversion, case generation and delivery controls.; PR #271 / merge commit 1ba6475 accepts a real-data pipeline from earthquake source through Regional2D, coupling export, OpenFOAM replay and both Local3D variants.; cases/kamaishi_delivery/case_spec.json records USGS Tohoku, ETOPO 2022, EPSG:32654, EGM2008, Kamaishi interface and model controls.; Accepted run command in PR #271 uses tools/cases/run_kamaishi_hybrid_delivery.py with the etopo-1000m offline profile.; PR #271 records blockMesh/checkMesh/setFields/foamRun/foamToVTK exit status 0 for no_defence and simple_rigid_barrier.; PR #271 records finite final U and p_rgh fields, bounded alpha.water, probe coverage, force coverage and VTK final-time output.",,Add adopted-backend closure comment and close as completed.
